C0603K ; 1.6 ; 0.8 ; 0.5
C0603 ; 1.6 ; 0.8 ; 0.5
R0603 ; 1.6 ; 0.8 ; 0.5
0603 ; 1.6 ; 0.8 ; 0.5
0603-ARC ; 1.6 ; 0.8 ; 0.5
C0402K ; 1.0 ; 0.5 ; 0.5
R0402 ; 1.0 ; 0.5 ; 0.5
EIA7343 ; 7.3 ; 4.3 ; 2.8
PSON127P500X600X82-9N ; 6.0 ; 5.0 ; 0.5
SEEED-SWITCH_SW4-SMD-4.2X3.2X2.5MM ; 4.2 ; 3.2 ; 2.5
SOT89 ; 4.6 ; 4.2 ; 1.8
U.FL ; 3.0 ; 2.8 ; 1.8
SOT363 ; 2.2 ; 2.2 ; 1.0
Qwiic ; 3.0 ; 5.0 ; 2.8
SIM800C ; 15.7 ; 17.6 ; 2.8
QFN50P700X700X100-49N ; 10.0 ; 10.0 ; 2.8
QFN50P900X900X100-65N ; 12.0 ; 12.0 ; 2.8
LQFP64L ; 12.0 ; 12.0 ; 2.8
WE-CON_SDMO-CN-9 ; 12.0 ; 12.0 ; 2.8
ESP-WROOM32 ; 18.0 ; 20.0 ; 3.1
